region,year,sex,average,maximum,minimum
(blank),2001,Female,1.0,3,0
(blank),2001,Male,6.6666665,20,0
(blank),2002,Female,1.0,2,0
(blank),2002,Male,6.1666665,26,0
(blank),2003,Female,1.8571428,6,0
(blank),2003,Male,10.857142,36,0
(blank),2004,Female,1.1666666,3,0
(blank),2004,Male,12.166667,41,0
(blank),2005,Female,2.7142856,10,0
(blank),2005,Male,12.428572,36,0
(blank),2006,Female,2.8333333,7,0
(blank),2006,Male,12.833333,34,0
(blank),2007,Female,2.5,8,0
(blank),2007,Male,12.6,39,0
(blank),2008,Female,2.625,8,0
(blank),2008,Male,15.75,40,0
(blank),2009,Female,4.2222223,25,0
(blank),2009,Male,21.333334,87,0
(blank),2010,Female,3.375,11,0
(blank),2010,Male,19.5,62,0
(blank),2011,Female,6.75,20,0
(blank),2011,Male,34.75,86,0
(blank),2012,Female,3.0,9,0
(blank),2012,Male,24.25,53,0
(blank),2013,Female,3.75,11,1
(blank),2013,Male,33.0,79,0
(blank),2014,Female,1.5,4,0
(blank),2014,Male,11.25,37,0
(blank),2015,Female,4.0,12,0
(blank),2015,Male,15.666667,43,2
(blank),2016,Female,5.0,10,0
(blank),2016,Male,16.0,32,0
(blank),2017,Female,8.0,8,8
(blank),2017,Male,30.0,30,30
(blank),2018,Female,13.0,13,13
(blank),2018,Male,35.0,35,35
(blank),2019,Female,9.0,9,9
(blank),2019,Male,35.0,35,35
(blank),2020,Female,3.0,3,3
(blank),2020,Male,21.0,21,21
Africa,2001,Female,11.0,11,11
Africa,2001,Male,14.0,14,14
Africa,2004,Female,10.0,10,10
Africa,2004,Male,28.0,28,28
Africa,2005,Female,20.0,52,1
Africa,2005,Male,102.0,270,8
Africa,2006,Female,38.0,63,13
Africa,2006,Male,241.0,459,23
Africa,2007,Female,577.0,2727,0
Africa,2007,Male,3365.2,16378,0
Africa,2008,Female,571.0,2679,0
Africa,2008,Male,3255.0,15720,0
Africa,2009,Female,509.66666,2545,0
Africa,2009,Male,3139.3333,15538,0
Africa,2010,Female,476.5,2596,0
Africa,2010,Male,2550.1667,14170,0
Africa,2011,Female,582.8333,2741,0
Africa,2011,Male,2960.4285,13151,0
Africa,2012,Female,506.25,2399,0
Africa,2012,Male,2775.875,13154,0
Africa,2013,Female,206.375,741,0
Africa,2013,Male,1178.625,3571,3
Africa,2014,Female,188.875,791,6
Africa,2014,Male,913.375,3203,11
Africa,2015,Female,191.66667,841,2
Africa,2015,Male,761.8889,3631,11
Africa,2016,Female,207.5,671,6
Africa,2016,Male,764.5,3075,15
Africa,2017,Female,647.5714,2639,10
Africa,2017,Male,3264.7144,16377,11
Africa,2018,Female,721.5,2930,6
Africa,2018,Male,4009.6667,17425,20
Africa,2019,Female,660.4,2771,10
Africa,2019,Male,3977.2,18265,23
Africa,2020,Female,79.5,117,6
Africa,2020,Male,371.25,510,28
Africa,2021,Female,150.83333,523,9
Africa,2021,Male,535.6667,1628,27
Americas,2001,Female,737.1875,3743,0
Americas,2001,Male,6173.625,41585,1
Americas,2002,Female,758.58826,4459,0
Americas,2002,Male,5615.1763,44040,0
Americas,2003,Female,749.0,3867,0
Americas,2003,Male,6232.9414,45775,3
Americas,2004,Female,606.0,3937,0
Americas,2004,Male,6172.353,47082,2
Americas,2005,Female,565.2381,3830,0
Americas,2005,Male,4627.409,44519,0
Americas,2006,Female,518.28,3884,0
Americas,2006,Male,4353.96,43665,2
Americas,2007,Female,515.2692,4022,1
Americas,2007,Male,4460.769,45060,0
Americas,2008,Female,485.07407,3772,1
Americas,2008,Male,4245.3335,43886,1
Americas,2009,Female,420.27274,4023,0
Americas,2009,Male,3790.0,46024,1
Americas,2010,Female,452.0303,4260,0
Americas,2010,Male,4064.375,47109,1
Americas,2011,Female,478.40625,4465,0
Americas,2011,Male,4218.4062,47749,7
Americas,2012,Female,520.29034,4512,0
Americas,2012,Male,4493.161,47619,3
Americas,2013,Female,561.931,4719,0
Americas,2013,Male,4882.1377,51544,6
Americas,2014,Female,491.76666,4762,0
Americas,2014,Male,4029.2,51937,1
Americas,2015,Female,501.44827,4832,0
Americas,2015,Male,3979.6667,54736,3
Americas,2016,Female,471.67648,4616,0
Americas,2016,Male,4073.9412,53424,4
Americas,2017,Female,471.11765,4635,0
Americas,2017,Male,4128.5884,56409,7
Americas,2018,Female,519.125,4928,0
Americas,2018,Male,4455.9375,58713,5
Americas,2019,Female,524.28125,4512,1
Americas,2019,Male,3947.875,51271,0
Americas,2020,Female,388.80646,3893,0
Americas,2020,Male,3435.9,40231,0
Americas,2021,Female,687.0714,3952,1
Americas,2021,Male,6398.0,39336,14
Asia,2001,Female,2366.8572,15195,2
Asia,2001,Male,5442.143,32971,2
Asia,2002,Female,2568.5,14971,1
Asia,2002,Male,5396.0,31448,4
Asia,2003,Female,2610.8333,14518,19
Asia,2003,Male,5992.6665,31217,49
Asia,2004,Female,1833.1111,14473,5
Asia,2004,Male,4282.8887,29858,24
Asia,2005,Female,1459.6666,15864,1
Asia,2005,Male,3160.3333,30626,4
Asia,2006,Female,1423.9166,15268,2
Asia,2006,Male,3165.1667,29827,2
Asia,2007,Female,1235.4286,15571,1
Asia,2007,Male,2674.8572,29389,4
Asia,2008,Female,1151.8823,16794,3
Asia,2008,Male,2468.2354,28568,6
Asia,2009,Female,1034.55,16993,1
Asia,2009,Male,778.2,4623,1
Asia,2010,Female,1065.65,17854,2
Asia,2010,Male,2149.45,27970,2
Asia,2011,Female,891.625,17871,0
Asia,2011,Male,1883.2916,28589,1
Asia,2012,Female,999.9091,18731,0
Asia,2012,Male,1973.4783,28909,1
Asia,2013,Female,956.65216,18451,1
Asia,2013,Male,1988.0869,29027,3
Asia,2014,Female,1044.0,17911,1
Asia,2014,Male,1865.7894,27967,0
Asia,2015,Female,957.8095,18284,0
Asia,2015,Male,1773.05,29072,0
Asia,2016,Female,863.0909,17089,0
Asia,2016,Male,1555.0869,27284,0
Asia,2017,Female,928.86365,17860,3
Asia,2017,Male,1889.0454,24459,1
Asia,2018,Female,819.0833,17327,0
Asia,2018,Male,1806.6666,23689,4
Asia,2019,Female,911.1429,17233,0
Asia,2019,Male,1647.1428,23751,1
Asia,2020,Female,943.6667,17238,0
Asia,2020,Male,1587.3334,23240,2
Asia,2021,Female,1126.5333,16383,2
Asia,2021,Male,1959.6154,24267,5
Europe,2001,Female,493.07144,10337,7
Europe,2001,Male,1381.3928,30753,26
Europe,2002,Female,483.06668,10756,4
Europe,2002,Male,1360.5333,32165,5
Europe,2003,Female,478.73334,10716,8
Europe,2003,Male,1378.9,33536,27
Europe,2004,Female,479.31033,10305,8
Europe,2004,Male,1340.6552,31459,26
Europe,2005,Female,410.41934,9641,1
Europe,2005,Male,1156.1613,29615,1
Europe,2006,Female,385.3,8849,0
Europe,2006,Male,1030.25,26787,2
Europe,2007,Female,313.4375,7215,0
Europe,2007,Male,855.25,21629,0
Europe,2008,Female,235.05714,6196,0
Europe,2008,Male,668.65717,19181,0
Europe,2009,Female,207.61765,4493,1
Europe,2009,Male,566.3823,13695,0
Europe,2010,Female,184.71794,4620,0
Europe,2010,Male,465.58975,13039,0
Europe,2011,Female,176.0,4358,0
Europe,2011,Male,440.73685,12332,0
Europe,2012,Female,153.57895,4057,0
Europe,2012,Male,409.8919,12118,0
Europe,2013,Female,152.84616,4239,0
Europe,2013,Male,87.410255,367,0
Europe,2014,Female,147.92308,4021,0
Europe,2014,Male,385.3846,12012,0
Europe,2015,Female,153.26315,4191,0
Europe,2015,Male,402.23685,12325,0
Europe,2016,Female,164.21622,4154,0
Europe,2016,Male,408.21622,11710,0
Europe,2017,Female,173.4,4152,0
Europe,2017,Male,427.25714,11709,0
Europe,2018,Female,159.30556,3484,1
Europe,2018,Male,422.83334,9809,0
Europe,2019,Female,142.79411,3173,1
Europe,2019,Male,342.44116,8782,0
Europe,2020,Female,124.833336,2921,0
Europe,2020,Male,308.97223,8278,1
Europe,2021,Female,137.55173,2763,0
Europe,2021,Male,328.9,7928,1
Oceania,2001,Female,52.0,136,0
Oceania,2001,Male,85.666664,225,1
Oceania,2002,Female,46.0,116,1
Oceania,2002,Male,88.0,230,5
Oceania,2003,Female,49.333332,121,1
Oceania,2003,Male,94.0,244,5
Oceania,2004,Female,36.666668,96,0
Oceania,2004,Male,80.0,205,6
Oceania,2005,Female,34.333332,92,0
Oceania,2005,Male,68.333336,170,2
Oceania,2006,Female,32.25,94,0
Oceania,2006,Male,54.0,164,4
Oceania,2007,Female,30.25,92,0
Oceania,2007,Male,59.25,188,8
Oceania,2008,Female,30.5,85,0
Oceania,2008,Male,50.5,169,1
Oceania,2009,Female,33.75,101,1
Oceania,2009,Male,49.5,160,3
Oceania,2010,Female,28.0,76,3
Oceania,2010,Male,63.5,186,5
Oceania,2011,Female,30.25,93,0
Oceania,2011,Male,43.0,137,1
Oceania,2012,Female,28.5,90,0
Oceania,2012,Male,48.75,158,2
Oceania,2013,Female,28.0,83,1
Oceania,2013,Male,48.25,160,0
Oceania,2014,Female,38.0,94,8
Oceania,2014,Male,65.333336,151,11
Oceania,2015,Female,39.666668,94,12
Oceania,2015,Male,62.0,149,8
Oceania,2016,Female,50.0,84,16
Oceania,2016,Male,91.5,151,32
Oceania,2017,Female,51.0,80,22
Oceania,2017,Male,87.5,147,28
Oceania,2018,Female,38.0,63,13
Oceania,2018,Male,83.0,144,22
Oceania,2019,Female,84.0,84,84
Oceania,2019,Male,135.0,135,135
Oceania,2020,Female,19.6,68,1
Oceania,2020,Male,48.8,156,0
Oceania,2021,Female,37.5,74,1
Oceania,2021,Male,50.666668,150,0
