region,year,sex,total
(blank),2001,Female,3
(blank),2001,Male,20
(blank),2002,Female,6
(blank),2002,Male,37
(blank),2003,Female,13
(blank),2003,Male,76
(blank),2004,Female,7
(blank),2004,Male,73
(blank),2005,Female,19
(blank),2005,Male,87
(blank),2006,Female,17
(blank),2006,Male,77
(blank),2007,Female,25
(blank),2007,Male,126
(blank),2008,Female,21
(blank),2008,Male,126
(blank),2009,Female,38
(blank),2009,Male,192
(blank),2010,Female,27
(blank),2010,Male,156
(blank),2011,Female,27
(blank),2011,Male,139
(blank),2012,Female,12
(blank),2012,Male,97
(blank),2013,Female,15
(blank),2013,Male,132
(blank),2014,Female,6
(blank),2014,Male,45
(blank),2015,Female,12
(blank),2015,Male,47
(blank),2016,Female,10
(blank),2016,Male,32
(blank),2017,Female,8
(blank),2017,Male,30
(blank),2018,Female,13
(blank),2018,Male,35
(blank),2019,Female,9
(blank),2019,Male,35
(blank),2020,Female,3
(blank),2020,Male,21
Africa,2001,Female,11
Africa,2001,Male,14
Africa,2004,Female,10
Africa,2004,Male,28
Africa,2005,Female,60
Africa,2005,Male,306
Africa,2006,Female,76
Africa,2006,Male,482
Africa,2007,Female,2885
Africa,2007,Male,16826
Africa,2008,Female,2855
Africa,2008,Male,16275
Africa,2009,Female,3058
Africa,2009,Male,18836
Africa,2010,Female,2859
Africa,2010,Male,15301
Africa,2011,Female,3497
Africa,2011,Male,20723
Africa,2012,Female,4050
Africa,2012,Male,22207
Africa,2013,Female,1651
Africa,2013,Male,9429
Africa,2014,Female,1511
Africa,2014,Male,7307
Africa,2015,Female,1725
Africa,2015,Male,6857
Africa,2016,Female,1660
Africa,2016,Male,6116
Africa,2017,Female,4533
Africa,2017,Male,22853
Africa,2018,Female,4329
Africa,2018,Male,24058
Africa,2019,Female,3302
Africa,2019,Male,19886
Africa,2020,Female,318
Africa,2020,Male,1485
Africa,2021,Female,905
Africa,2021,Male,3214
Americas,2001,Female,11795
Americas,2001,Male,98778
Americas,2002,Female,12896
Americas,2002,Male,95458
Americas,2003,Female,12733
Americas,2003,Male,105960
Americas,2004,Female,10302
Americas,2004,Male,104930
Americas,2005,Female,11870
Americas,2005,Male,101803
Americas,2006,Female,12957
Americas,2006,Male,108849
Americas,2007,Female,13397
Americas,2007,Male,115980
Americas,2008,Female,13097
Americas,2008,Male,114624
Americas,2009,Female,13869
Americas,2009,Male,125070
Americas,2010,Female,14917
Americas,2010,Male,130060
Americas,2011,Female,15309
Americas,2011,Male,134989
Americas,2012,Female,16129
Americas,2012,Male,139288
Americas,2013,Female,16296
Americas,2013,Male,141582
Americas,2014,Female,14753
Americas,2014,Male,120876
Americas,2015,Female,14542
Americas,2015,Male,119390
Americas,2016,Female,16037
Americas,2016,Male,138514
Americas,2017,Female,16018
Americas,2017,Male,140372
Americas,2018,Female,16612
Americas,2018,Male,142590
Americas,2019,Female,16777
Americas,2019,Male,126332
Americas,2020,Female,12053
Americas,2020,Male,103077
Americas,2021,Female,9619
Americas,2021,Male,89572
Asia,2001,Female,16568
Asia,2001,Male,38095
Asia,2002,Female,15411
Asia,2002,Male,32376
Asia,2003,Female,15665
Asia,2003,Male,35956
Asia,2004,Female,16498
Asia,2004,Male,38546
Asia,2005,Female,17516
Asia,2005,Male,37924
Asia,2006,Female,17087
Asia,2006,Male,37982
Asia,2007,Female,17296
Asia,2007,Male,37448
Asia,2008,Female,19582
Asia,2008,Male,41960
Asia,2009,Female,20691
Asia,2009,Male,15564
Asia,2010,Female,21313
Asia,2010,Male,42989
Asia,2011,Female,21399
Asia,2011,Male,45199
Asia,2012,Female,21998
Asia,2012,Male,45390
Asia,2013,Female,22003
Asia,2013,Male,45726
Asia,2014,Female,19836
Asia,2014,Male,35450
Asia,2015,Female,20114
Asia,2015,Male,35461
Asia,2016,Female,18988
Asia,2016,Male,35767
Asia,2017,Female,20435
Asia,2017,Male,41559
Asia,2018,Female,19658
Asia,2018,Male,37940
Asia,2019,Female,19134
Asia,2019,Male,34590
Asia,2020,Female,19817
Asia,2020,Male,33334
Asia,2021,Female,16898
Asia,2021,Male,25475
Europe,2001,Female,13806
Europe,2001,Male,38679
Europe,2002,Female,14492
Europe,2002,Male,40816
Europe,2003,Female,14362
Europe,2003,Male,41367
Europe,2004,Female,13900
Europe,2004,Male,38879
Europe,2005,Female,12723
Europe,2005,Male,35841
Europe,2006,Female,11559
Europe,2006,Male,32968
Europe,2007,Female,10030
Europe,2007,Male,27368
Europe,2008,Female,8227
Europe,2008,Male,23403
Europe,2009,Female,7059
Europe,2009,Male,19257
Europe,2010,Female,7204
Europe,2010,Male,18158
Europe,2011,Female,6864
Europe,2011,Male,16748
Europe,2012,Female,5836
Europe,2012,Male,15166
Europe,2013,Female,5961
Europe,2013,Male,3409
Europe,2014,Female,5769
Europe,2014,Male,15030
Europe,2015,Female,5824
Europe,2015,Male,15285
Europe,2016,Female,6076
Europe,2016,Male,15104
Europe,2017,Female,6069
Europe,2017,Male,14954
Europe,2018,Female,5735
Europe,2018,Male,15222
Europe,2019,Female,4855
Europe,2019,Male,11643
Europe,2020,Female,4494
Europe,2020,Male,11123
Europe,2021,Female,3989
Europe,2021,Male,9867
Oceania,2001,Female,156
Oceania,2001,Male,257
Oceania,2002,Female,138
Oceania,2002,Male,264
Oceania,2003,Female,148
Oceania,2003,Male,282
Oceania,2004,Female,110
Oceania,2004,Male,240
Oceania,2005,Female,103
Oceania,2005,Male,205
Oceania,2006,Female,129
Oceania,2006,Male,216
Oceania,2007,Female,121
Oceania,2007,Male,237
Oceania,2008,Female,122
Oceania,2008,Male,202
Oceania,2009,Female,135
Oceania,2009,Male,198
Oceania,2010,Female,112
Oceania,2010,Male,254
Oceania,2011,Female,121
Oceania,2011,Male,172
Oceania,2012,Female,114
Oceania,2012,Male,195
Oceania,2013,Female,112
Oceania,2013,Male,193
Oceania,2014,Female,114
Oceania,2014,Male,196
Oceania,2015,Female,119
Oceania,2015,Male,186
Oceania,2016,Female,100
Oceania,2016,Male,183
Oceania,2017,Female,102
Oceania,2017,Male,175
Oceania,2018,Female,76
Oceania,2018,Male,166
Oceania,2019,Female,84
Oceania,2019,Male,135
Oceania,2020,Female,98
Oceania,2020,Male,244
Oceania,2021,Female,75
Oceania,2021,Male,152
